title,salary_from,salary_to
"Full stack (middle) Developer (Laravel /React js, Vue js)",400000,1200000
QA Automation Engineer,,
Преподаватель программирования и дизайна,30000,80000
DevOps инженер (middle),,
Ведущий аналитик,70500,
Senior Full Stack developer,210000,
Full stack QA engineer (Python) / Старший инженер по тестированию (TATLIN.OBJECT),,
Пресейл-инженер по внедрению ВКС,80000,
Руководитель группы сопровождения 1С,,
Blockchain Developer (Node.js),2000,3000
DevOps инженер (г.Самара),,
Senior Go разработчик в команду разработки продуктов облачного провайдера,,
Computer Vision Engineer (Junior+/Middle),150000,290000
Computer Vision Engineer (Junior+/Middle),150000,290000
Middle/middle+ Data Engineer,,
Системный администратор,,
Site Reliability Engineer,,
Middle/middle+ Data Engineer,,
QA Automation Engineer (auto backend),,
Data engineer/разработчик Spark,,
Senior Data Scientist в команду антифрода,,
Senior Data Scientist в команду антифрода,,
Senior Data Scientist в команду антифрода,,
Аналитик (Группа контроллинга логистических операций),,
Аналитик данных,80000,
Риск-аналитик,,
Инженер данных (Data engineer),,
Pentester (Cybersecurity researcher),,
Data аналитик,,
Ведущий менеджер по ГИС-картографии,,
Data Analyst,,
Data Analyst,,
Инженер-программист,,
Преподаватель IT дисциплин (Пушкино),,160000
Преподаватель IT дисциплин (Пушкино),,160000
Инженер автоматизированного тестирования,,
Продуктовый аналитик “Возвраты покупателей”,,
Старший аналитик отдела риск аналитики и андеррайтинга,,
Lead Computer Vision Researcher,,
Lead Computer Vision Researcher,,
Senior backend-developer (.NET/C#),,
Главный специалист отдела Операционной поддержки,130000,
Технический архитектор,,
DevOps (middle/senior),,
"Специалист поддержки продуктивных и непродуктивных сред систем биллинга, CRM и Self-Service",,
Бизнес-аналитик,,
DevOps-инженер,,
Аналитик БД,70000,
"Инженер-программист по системам обмена данными, комплексам внутриобъектовой связи и трансляции",85000,
Администратор баз данных,,
Сетевой инженер / архитектор,150000,250000
Функциональный архитектор проектов В2В,,
Ведущий системный администратор Linux,130000,
Machine Learning Engineer,,
Архитектор (направление виртуализация и сервера),100000,
Архитектор (направление виртуализация и сервера),,
Data Scientist (риски),,
"Аналитик по разработке моделей (PD, LGD)",,
DevOps Engineer (Linux),,
Junior Data Analyst,,
DevOps-инженер,,
Data scientist,,
Web-программист,100000,
DevOps/SysOps инженер,,
Программист С++ (junior),,
QA Engineer (middle/senior),,
Инженер по тестированию РЭА,,
Разработчик гиперконвергентной инфраструктуры,,
Разработчик С/Go,,
Тестировщик-автоматизатор (направление SCADA),170000,
Разработчик Битрикс24,,
"Junior Frontend web-developer (JS, TS, React, Vue)",50000,100000
IT-специалист,12000,15000
